ФИО лица выдавшего Поручение,Дата Поручения,Номер Поручения,Досудебное урегулирование,Дата Претензии/Уведомления,Номер Претензии/Уведомления,Номер Дела,Исполнитель от Юридического отдела (ФИО),Дата Иска,Иск - Входящий/Исходящий,Истец,Ответчик,Третьи лица,Исковое требование,Предмет Искового требования,Основной долг (Сумма Иска предъявленного Москомнаследием),Пени (Пени Иска предъявленного Москомнаследием),Комментарий,Инстанция,Дата судебного заседания,Время судебного заседания,Результат рассмотрения судебного заседания,Вид Решения Суда,Дата решения Суда,Основной долг (По решению суда),Пени (По решению суда),Примечание,Идентификатор,Аппеляционная инстанция,Кассационная инстанция,Номер Исполнительного листа,Дата поступления Исполнительного листа,Дата направления Исполнительного листа,Отдел службы судебных приставов,Комментарий к исполнительному производству,Дата исполнения решения,Результат исполнения,key,link
,,,,,,"02-2301/17","Шальнова С.П.",,"Входящий","ТСН Еропкинский 16","Ланкин Д.А., Ланкина О.В.","Москомнаследие",,"об обязании демонтировать незаконно установленное оборудование",0.0000,0.0000,,"Первая инстанция","02/20/18 00:00:00","11:00",,,,0.0000,0.0000,,,,,,,,,,,,2566,4826
,,,,,,"А40-171685/17","Шальнова С.П.",,"Исходящий","Москомнаследие","ООО СТРОЙИМПУЛЬС",,,"о взыскании денежных стредств в размере  131 316",0.0000,0.0000,,"Первая инстанция(УПР)","10/10/17 00:00:00","09:00",,,,0.0000,0.0000,,,,,,,,,,,,2567,4827
,,,,,,"02-7945/17, 02-0322/2018 02-0674/2019","Решетников Д.К.",,"Входящий","ТСЖ Никитский бульвар 12","Компания Брэкенхерст Инвестменте Лимитед, Веревочников М.Г.","Москомнаследие",,"о признании постройки самовольной, приведении здания в первоначальное состояние",0.0000,0.0000,,"Первая инстанция","03/21/19 00:00:00","17:00",,,,0.0000,0.0000,,,,,,,,,,,,2568,4828
,,,,,,"02а-0973/2017","Решетников Д.К.",,,"Москомнаследие","Управление Минкультуры по ЦФО",,"о признании незаконным предписания  от 22.02.2017 г. № 4-П",,0.0000,0.0000,,"Первая инстанция","09/12/18 00:00:00","12:15",,,,0.0000,0.0000,,,,,,,,,,,,2569,4795
,,,,,,"02-4361/17 02-0208/18","Решетников Д.К.",,"Входящий","ПМ,ДГИ","ООО Пирамит,Парсегов Ю.А., ООО ФЛЕР МВ","Москомнаследие",,"о восстановлении положения существовавшего до нарушения права (восстановление срока на подачу частной жалобы)",0.0000,0.0000,,"Первая инстанция","03/19/19 00:00:00","11:00",,,,0.0000,0.0000,,,,,,,,,,,,2570,4829
,,,,,,"02а-0977/17","Величко В.В.",,"Входящий","Борисов И.В.","Москомнаследие",,,"об оспаривании действий об отказе во включении объекта в перечень выявленных ОКН",0.0000,0.0000,,"Апелляция","04/24/18 00:00:00","13:40",,,,0.0000,0.0000,,,,,,,,,,,,2571,4830
,,,,,,"А40-184768/17","Решетнитков Д.К.",,"Исходящий","Москомнаследие","ООО ""Динвест""",,,"об изъятии объекта культурного наследия",0.0000,0.0000,,"Первая инстанция","12/14/17 00:00:00","14:40",,,,0.0000,0.0000,,,,,,,,,,,,2572,4831
,,,,,,"баабушкинский р-ный","Величко В.В.",,"Входящий","В.В.Каталина","Москомнаследие",,,"жалоба на определение об оказе в возбуждении дела об административном правонарушении по ч. 1 ст. 7.13 КоАП РФ",0.0000,0.0000,,"Первая инстанция","10/26/17 00:00:00","09:00",,,,0.0000,0.0000,,,,,,,,,,,,2573,4832
,,,,,,"А40-143971/17","Шастун А.В.",,"Исходящий","Москомнаследие","АНО ""КОС ""Лубянка""",,,"об обязании провести работы по сохранению",0.0000,0.0000,,"Апелляция","05/22/18 00:00:00","14:50",,,,0.0000,0.0000,,,,,,,,,,,,2574,4283
,,,,,,"А40-187073/17","Шальнова С.П.",,"Входящий","ДГИ,ПМ","ЗАО ""студия Классика""","Москомнаследие",,"о признании постройки самовольной и ее сносе",0.0000,0.0000,,"Первая инстанция","03/18/19 00:00:00","13:00",,,,0.0000,0.0000,,,,,,,,,,,,2575,4833
,,,,,,"А40-144610/17","Шастун А.В.",,"Входящий","АНО ""КОС ""Лубянка""","Москомнаследие",,,"о признании незаконным предписания от 25.05.2017",0.0000,0.0000,,"Первая инстанция","02/02/18 00:00:00","16:30",,,,0.0000,0.0000,,,,,,,,,,,,2576,4283
,,,,,,,"Шастун А.В.",,"Входящий","Ано ЦДРИ","Москомнаследие",,,"о признании незаконным предписания от 25.07.2017",0.0000,0.0000,,"Первая инстанция",,,,,,0.0000,0.0000,,,,,,,,,,,,2577,4834
,,,,,,"3937/17 02-0290/18","Величко В.В.",,"Входящий","ПМ,ДГИ","Большаков Э.В. , БольшаковаО.П.,Керенцева О.Е. Змихновский С.А.","Москомнаследие",,"О восстановлении положениясуществовавшего донарушения права",0.0000,0.0000,,"Первая инстанция","08/07/18 00:00:00","15:30",,,,0.0000,0.0000,,,,,,,,,,,,2588,4845
,,,,,,"А40-197582/17","Величко В.В.",,"Входящий","ООО ""Лена-Лайт ЛТД""","ДГИ","Москомнаследие",,"об обязании заключить договор купли-продажи",0.0000,0.0000,,"Первая инстанция","03/06/18 00:00:00","14:10",,,,0.0000,0.0000,,,,,,,,,,,,2589,4846
,,,,,,"А40-202045/17","Шастун",,"Входящий","АНО ЦДРИ","Москомнаследие",,,"о признании незаконным и отмене предписания от 25.07.2017 №В163/2017-294/17П",0.0000,0.0000,,"Апелляция",,,,,,0.0000,0.0000,,,,,,,,,,,,2590,4847
,,,,,,"А40-217550/17","Шальнова С.П.",,"Исходящий","Москомнаследие","Судебный пристав-исполнитель ЦАО № 3 ФССП по москве Жердецкий Д.В.",,,"об оспаривании постановления об отказе в возбуждении исполнительного производства от 22 сентября 2017 г.",0.0000,0.0000,,"Кассация","10/09/18 00:00:00","10:10",,,,0.0000,0.0000,,,,,,,,,,,,2591,4848
,,,,,,"А40-158704/17","Решетников Д.К.",,"Входящий","ТУ Росимущества по гор Москве","ПМ, Ленинградский областной комитет по управлению государственным имуществом",,,"О признании недействительным распоряждения ПМ № 184-ПП, признании недействительным зарегистрированного права собственности, обязании возвратиь указанный объект",0.0000,0.0000,,"Первая инстанция","04/03/18 00:00:00","13:00",,,,0.0000,0.0000,,,,,,,,,,,,2592,4849
,,,,,,"А40-218933/17","Шастун А.В.",,"Входящий","ПМ,ДГИ","ООО ""Институт проблем безопасности СНГ","Москомнаследие",,"о признании права собственности города Москвы на самовольную постройку",0.0000,0.0000,,"Первая инстанция","04/06/18 00:00:00","11:20",,,,0.0000,0.0000,,,,,,,,,,,,2593,4850
,,,,,,"А40-184768/17","Решетнитков Д.К.",,"Исходящий","Москомнаследие","ООО ""Динвест""",,,"об изъятии объекта культурного наследия (обжалование определения об отказе в обеспечительных мерах)",0.0000,0.0000,,"Апелляция","01/17/18 00:00:00","12:00",,,,0.0000,0.0000,,,,,,,,,,,,2594,4831
,,,,,,"02-8331/17","Решетников?",,"Входящий","Мосжилинспекция","ООО ТОР","Москомнаследие",,"о приведении фактического состояния помещения в соответствии с технической документацией",0.0000,0.0000,,,"02/26/18 00:00:00","14:30",,,,0.0000,0.0000,,,,,,,,,,,,2595,4851
,,,,,,"02-3853/17","Решетников?",,"Входящий","Мосжилинспекция","Выборнов А.Н.",,,"о приведении фактического состояния помещения в соответствие с техничсеской документацией",0.0000,0.0000,,"Первая инстанция","12/19/17 00:00:00","16:00",,,,0.0000,0.0000,,,,,,,,,,,,2596,4852
,,,,,,"А40-230621/17","Колесникова Е.Ю.",,"Входящий","ООО ""Общество по возраждению традиций П.А. Смирнова""","ДГИ, ПМ, ГУП ""РЭМ""","Москомнаследие",,"об обязании заключить договор купли продажи",0.0000,0.0000,,"Первая инстанция","03/04/19 00:00:00","14:00",,,,0.0000,0.0000,,,,,,,,,,,,2597,4853
,,,,,,"Мосгорсуд","Решетников Д.К.",,"Входящий","Головина С.В., Смаржевская Е.А., Брылев А.М., Крючкова Г.Л., Кириллов Н.Б.,Туровский М.В., Таранов А.И.","ПМ(поручение в ЭДО А.М.)",,,"о признании ППМ от 10 октября 2006 г. № 792-ПП ""о корректировке границ объединенной охранной зоны № 31 недействующим",0.0000,0.0000,,"Первая инстанция",,,,,,0.0000,0.0000,,,,,,,,,,,,2598,4854
,,,,,,"02-5327/17 (останкинский) 02-0472/2018","Шальнова С.П.",,"Исходящий","Москомнаследие","Разуваев А.Р.",,,"об изъятии окн",0.0000,0.0000,,"Апелляция","03/18/19 00:00:00","14:05",,,,0.0000,0.0000,,,,,,,,,,,,2599,4411
,,,,,,"А40-230552/17","Шастун",,,"ДГИ,ПМ","Компания кино ходингс С.А.","Москомнаследие",,"о восстановлении положения существовавшего до нарушения права",0.0000,0.0000,,"Первая инстанция","10/13/18 00:00:00","14:00",,,,0.0000,0.0000,,,,,,,,,,,,2600,4855
,,,,,,"А40-190998/17","Шальнова С.П.",,"Входящий","РО ""Подворье заиконоспасского мужского монастыря в Китай-городе города Москвы","ДГИ","Москомнаследие",,"о призгнании незаконным решения оформленного письмом от 31.07.2017",0.0000,0.0000,,,"11/22/18 00:00:00","09:50",,,,0.0000,0.0000,,,,,,,,,,,,2601,4856
,,,,,,"А40-227753/17","Шальнова С.П.",,"Входящий","ПМ,ДГИ","ЗАО ""КЦ ЭЛЛАДА""","Москомнаследие",,"о восстановление положения, существовавшего до нарушения права",0.0000,0.0000,,"Первая инстанция","02/13/19 00:00:00","10:00",,,,0.0000,0.0000,,,,,,,,,,,,2602,4857
,,,,,,"А40-110569/15","Решетников Д.К.",,"Входящий","ООО ""ВитЭМ""","ДГИ","Москомнаследие",,"об урегулировании разногласий",0.0000,0.0000,,"Апелляция","01/24/18 00:00:00","14:00",,,,0.0000,0.0000,,,,,,,,,,,,2603,4858
